name,address,primary_category,type,subtype,food_tier,lat,lon,color_r,color_g,color_b,osm_id,osm_type,osm_shop,osm_amenity,brand,opening_hours,website,phone,geocode_source
Saint Boniface Catholic Church,"9367, Wattsburg Road, Erie, PA, 16509",Civic & Social,Faith Community,Place of Worship,,42.0665874,-79.9707552,168,85,247,8403374088,node,,place_of_worship,,,,,openstreetmap
Saint Brigid,,Civic & Social,Faith Community,Place of Worship,,41.6363245,-80.1488455,168,85,247,1094973529,way,,place_of_worship,,,,,openstreetmap
Saint Casimir Catholic Church,"630, Hess Avenue, Erie, PA, 16503",Civic & Social,Faith Community,Place of Worship,,42.139055,-80.0575917,168,85,247,8009986378,node,,place_of_worship,,,,,openstreetmap
Saint Cyril & Methodius Catholic Church,"1022, Tilden Drive, Girard, PA, 16417",Civic & Social,Faith Community,Place of Worship,,42.0098362,-80.306192,168,85,247,9137602911,node,,place_of_worship,,,,,openstreetmap
Saint Francis Xavier Catholic Church,"8880, Edinboro Road, McKean, PA, 16426",Civic & Social,Faith Community,Place of Worship,,42.0002035,-80.1429712,168,85,247,8174664836,node,,place_of_worship,,,,,openstreetmap
Saint George Catholic Church,"5145, Peach Street, Erie, PA, 16509",Civic & Social,Faith Community,Place of Worship,,42.0784805,-80.091124,168,85,247,7573458934,node,,place_of_worship,,,,,openstreetmap
Saint Gregory Catholic Church,"50, South Pearl Street, North East, PA, 16428",Civic & Social,Faith Community,Place of Worship,,42.2126011,-79.8368956,168,85,247,8184928447,node,,place_of_worship,,,,,openstreetmap
Saint Hedwig Catholic Church,"521, East 3rd Street, Erie, PA, 16507",Civic & Social,Faith Community,Place of Worship,,42.1363641,-80.0757766,168,85,247,9864166434,node,,place_of_worship,,,,,openstreetmap
Saint Hippolytes Church,,Civic & Social,Faith Community,Place of Worship,,41.6122771,-80.0217241,168,85,247,357307911,node,,place_of_worship,,,,,openstreetmap
Saint James African Methodist Episcopal Church,"236, East 11th Street, Erie, PA, 16503",Civic & Social,Faith Community,Place of Worship,,42.1265908,-80.0770345,168,85,247,10275901441,node,,place_of_worship,,,,,openstreetmap
Saint James Lutheran Church,"6851, Old Ridge Road, Fairview, PA, 16415",Civic & Social,Faith Community,Place of Worship,,42.048021,-80.2365871,168,85,247,9269810992,node,,place_of_worship,,,,,openstreetmap
Saint James Roman Catholic Church,"2635, Buffalo Road, Erie, PA, 16510",Civic & Social,Faith Community,Place of Worship,,42.137858,-80.0195678,168,85,247,808911403,way,,place_of_worship,,,https://www.saintjamesrcc.org/,+18148996178,openstreetmap
Saint John Baptist Church,"509, East 26th Street, Erie, PA, 16504",Civic & Social,Faith Community,Place of Worship,,42.1156643,-80.0621667,168,85,247,8358835471,node,,place_of_worship,,,,,openstreetmap
Saint John's,"7474, Mercer Pike, Meadville, PA, 16335",Civic & Social,Faith Community,Place of Worship,,41.5671694,-80.1568202,168,85,247,582394971,way,,place_of_worship,,,,,openstreetmap
Saint Johns Church,,Civic & Social,Faith Community,Place of Worship,,41.5233872,-79.9761694,168,85,247,357308629,node,,place_of_worship,,,,,openstreetmap
Saint Johns Evangelical Lutheran Church,"2216, Peach Street, Erie, PA, 16502",Civic & Social,Faith Community,Place of Worship,,42.1139819,-80.0773687,168,85,247,8349908405,node,,place_of_worship,,,,,openstreetmap
Saint Joseph Catholic Church,"147, West 24th Street, Erie, PA, 16502",Civic & Social,Faith Community,Place of Worship,,42.1121675,-80.0779307,168,85,247,9440817008,node,,place_of_worship,,,,,openstreetmap
Saint Jude Catholic Church,"2801, West 6th Street, Erie, PA, 16505",Civic & Social,Faith Community,Place of Worship,,42.1059607,-80.1469798,168,85,247,7887848511,node,,place_of_worship,,,,,openstreetmap
Saint Julia Catholic Church,"3750, West Lake Road, Erie, PA, 16505",Civic & Social,Faith Community,Place of Worship,,42.097224,-80.1700447,168,85,247,863563693,way,,place_of_worship,,,https://www.stjuliaerie.com/,+18148334347,openstreetmap
Saint Luke Catholic Church,"421, East 38th Street, Erie, PA, 16504",Civic & Social,Faith Community,Place of Worship,,42.1051691,-80.0571243,168,85,247,8503902139,node,,place_of_worship,,,,,openstreetmap
Saint Mark's Episcopal Church,"4701, Old French Road, Erie, PA, 16509",Civic & Social,Faith Community,Place of Worship,,42.0960875,-80.0582355,168,85,247,7925725860,node,,place_of_worship,,,,,openstreetmap
Saint Marks Church,,Civic & Social,Faith Community,Place of Worship,,41.5569984,-80.0745039,168,85,247,357309213,node,,place_of_worship,,,,,openstreetmap
Saint Mary's Episcopal Church,"662, Silliman Avenue, Erie, PA, 16511",Civic & Social,Faith Community,Place of Worship,,42.1536828,-80.0161655,168,85,247,7728471149,node,,place_of_worship,,,,,openstreetmap
Saint Mary's Orthodox Church,"721, East 5th Street, Erie, PA, 16507",Civic & Social,Faith Community,Place of Worship,,42.1362003,-80.0695003,168,85,247,10273200483,node,,place_of_worship,,,,,openstreetmap
Saint Matthias Church,,Civic & Social,Faith Community,Place of Worship,,42.0756109,-79.6975494,168,85,247,357586522,node,,place_of_worship,,,,,openstreetmap
Saint Nicholas Church,,Civic & Social,Faith Community,Place of Worship,,41.8600556,-80.2653388,168,85,247,357309926,node,,place_of_worship,,,,,openstreetmap
Saint Nicholas Orthodox Church,"1123, East Avenue, Erie, PA, 16503",Civic & Social,Faith Community,Place of Worship,,42.1322425,-80.0589715,168,85,247,882876406,way,,place_of_worship,,,,,openstreetmap
Saint Patrick Catholic Church,"134, East 4th Street, Erie, PA, 16507",Civic & Social,Faith Community,Place of Worship,,42.1328664,-80.083792,168,85,247,841384662,way,,place_of_worship,,,,,openstreetmap
Saint Paul's Catholic Church,"1617, Walnut Street, Erie, PA, 16502",Civic & Social,Faith Community,Place of Worship,,42.1159052,-80.0895164,168,85,247,998805526,way,,place_of_worship,,,,,openstreetmap
Saint Paul's Lutheran Church,"3108, Sterrettania Road, Erie, PA, 16506",Civic & Social,Faith Community,Place of Worship,,42.082151,-80.1411419,168,85,247,8297608391,node,,place_of_worship,,,,,openstreetmap
Saint Paul's Lutheran Church,"30, Clinton Street, North East, PA, 16428",Civic & Social,Faith Community,Place of Worship,,42.2113786,-79.8379397,168,85,247,8761187236,node,,place_of_worship,,,,,openstreetmap
Saint Paul's Reformed Church,"1070, Park Avenue, Meadville, PA, 16335",Civic & Social,Faith Community,Place of Worship,,41.6342592,-80.1546067,168,85,247,977616541,way,,place_of_worship,,,,,openstreetmap
Saint Peter & Paul Catholic Church,"3415, Wallace Street, Erie, PA, 16504",Civic & Social,Faith Community,Place of Worship,,42.1087764,-80.0573615,168,85,247,7897679889,node,,place_of_worship,,,,,openstreetmap
Saint Peter Cathedral Church,"230, West 10th Street, Erie, PA, 16501",Civic & Social,Faith Community,Place of Worship,,42.1242567,-80.0870879,168,85,247,8312864190,node,,place_of_worship,,,https://www.stpetercathedral.com,+1 814-453-6677,openstreetmap
Saint Peter's Lutheran Church,"3968, Hershey Road, Erie, PA, 16506",Civic & Social,Faith Community,Place of Worship,,42.04284,-80.1403526,168,85,247,357310622,node,,place_of_worship,,,,,openstreetmap
Saint Peter's Lutheran Church,"1500, Freeport Road, North East, PA, 16428",Civic & Social,Faith Community,Place of Worship,,42.2260634,-79.8340648,168,85,247,12521778876,node,,place_of_worship,,,,,openstreetmap
Saint Stanislaus Catholic Church,"516, East 13th Street, Erie, PA, 16503",Civic & Social,Faith Community,Place of Worship,,42.1271327,-80.069539,168,85,247,8210169567,node,,place_of_worship,,,,,openstreetmap
Saint Stephen's Episcopal Church,"1070, Dutch Road, Fairview, PA, 16415",Civic & Social,Faith Community,Place of Worship,,42.0661087,-80.2345153,168,85,247,8235254946,node,,place_of_worship,,,,,openstreetmap
Saint Titus Roman Catholic Church,"513, West Main Street, Titusville, PA, 16354",Civic & Social,Faith Community,Place of Worship,,41.6278482,-79.6814059,168,85,247,4727135736,node,,place_of_worship,,,,,openstreetmap
Saints Peter and Paul Church,,Civic & Social,Faith Community,Place of Worship,,41.5778321,-80.0667256,168,85,247,357311077,node,,place_of_worship,,,,,openstreetmap
Saints Peter and Paul Orthodox Church,"25636, North Mosiertown Road, Crossingville, PA, 16412",Civic & Social,Faith Community,Place of Worship,,41.8287762,-80.2368106,168,85,247,1450033479,way,,place_of_worship,,,https://orthodoxcrossingville.org/,+1-814-734-3801,openstreetmap
Salvation Ministries,"2249, West 38th Street, Erie, PA, 16506",Civic & Social,Faith Community,Place of Worship,,42.0812051,-80.1168202,168,85,247,9289112974,node,,place_of_worship,,,,,openstreetmap
San Juan United Methodist Church,"1430, Buffalo Road, Erie, PA, 16503",Civic & Social,Faith Community,Place of Worship,,42.1291856,-80.0434555,168,85,247,808944899,way,,place_of_worship,,,,,openstreetmap
Second Baptist Church,"757, East 26th Street, Erie, PA, 16504",Civic & Social,Faith Community,Place of Worship,,42.1180636,-80.0559854,168,85,247,7573132299,node,,place_of_worship,,,,,openstreetmap
Shiloh Baptist Church,"901, East 5th Street, Erie, PA, 16507",Civic & Social,Faith Community,Place of Worship,,42.1376482,-80.0654831,168,85,247,885955118,way,,place_of_worship,,,,,openstreetmap
Simpson United Methodist Church,"2113, Sassafras Street, Erie, PA, 16502",Civic & Social,Faith Community,Place of Worship,,42.1145211,-80.0797214,168,85,247,8349992778,node,,place_of_worship,,,,,openstreetmap
Sisters Saint Joseph,"5031, West Ridge Road, Erie, PA, 16506",Civic & Social,Faith Community,Place of Worship,,42.0666131,-80.1867301,168,85,247,7795058050,node,,place_of_worship,,,,,openstreetmap
South Harborcreek United Methodist Church,"7929, McGill Road, Harborcreek, PA, 16421",Civic & Social,Faith Community,Place of Worship,,42.1505235,-79.9254329,168,85,247,8361466641,node,,place_of_worship,,,,,openstreetmap
South Ripley Church,,Civic & Social,Faith Community,Place of Worship,,42.1956127,-79.7056026,168,85,247,357590321,node,,place_of_worship,,,,,openstreetmap
South Shenango Church,,Civic & Social,Faith Community,Place of Worship,,41.5403315,-80.4284015,168,85,247,357313168,node,,place_of_worship,,,,,openstreetmap
Southside Baptist Church,"8184, Peach Street, Erie, PA, 16509",Civic & Social,Faith Community,Place of Worship,,42.0441595,-80.0768704,168,85,247,7545690162,node,,place_of_worship,,,,,openstreetmap
Spartansburg Baptist Church,,Civic & Social,Faith Community,Place of Worship,,41.8237156,-79.6908935,168,85,247,1121514297,way,,place_of_worship,,,,,openstreetmap
Spartansburg Christian Missionary,,Civic & Social,Faith Community,Place of Worship,,41.8244193,-79.68006,168,85,247,1121227157,way,,place_of_worship,,,,,openstreetmap
Spartansburg United Methodist Church,,Civic & Social,Faith Community,Place of Worship,,41.8238956,-79.6846156,168,85,247,1121514296,way,,place_of_worship,,,,,openstreetmap
St Margarets,,Civic & Social,Faith Community,Place of Worship,,41.4910472,-80.4421687,168,85,247,1052361147,way,,place_of_worship,,,,,openstreetmap
St. Anthony's Catholic Church,,Civic & Social,Faith Community,Place of Worship,,41.8009615,-80.059749,168,85,247,860274448,way,,place_of_worship,,,,,openstreetmap
St. John Baptist Church,,Civic & Social,Faith Community,Place of Worship,,41.641418,-80.149366,168,85,247,1119712882,way,,place_of_worship,,,,,openstreetmap
St. Mary's Roman Catholic Church,"1093, Water Street, Meadville, PA, 16335",Civic & Social,Faith Community,Place of Worship,,41.6341116,-80.1563526,168,85,247,640949193,way,,place_of_worship,,,,,openstreetmap
State Line Church,,Civic & Social,Faith Community,Place of Worship,,41.4951462,-80.5142704,168,85,247,1051304081,way,,place_of_worship,,,,,openstreetmap
State Line United Methodist Church,,Civic & Social,Faith Community,Place of Worship,,41.8633887,-80.5197939,168,85,247,357466554,node,,place_of_worship,,,,,openstreetmap
State Line United Methodist Church,"12591, East Main Street, North East, PA, 16428",Civic & Social,Faith Community,Place of Worship,,42.2430796,-79.7619587,168,85,247,8184743205,node,,place_of_worship,,,,,openstreetmap
State Road Church,,Civic & Social,Faith Community,Place of Worship,,41.6625554,-80.0856134,168,85,247,357314625,node,,place_of_worship,,,,,openstreetmap
Sterrettania Alliance Church,"6750, West Road, McKean, PA, 16426",Civic & Social,Faith Community,Place of Worship,,42.0035931,-80.1966203,168,85,247,8322148027,node,,place_of_worship,,,,,openstreetmap
Still Waters Mennonite Church,"66, East Main Street, 14775",Civic & Social,Faith Community,Place of Worship,,42.2688889,-79.7044444,168,85,247,357645041,node,,place_of_worship,,,,+1 716-252-6515,openstreetmap
Stone United Methodist Church,,Civic & Social,Faith Community,Place of Worship,,41.6373261,-80.1508882,168,85,247,1081028707,way,,place_of_worship,,,,,openstreetmap
Sugar Lake Church,,Civic & Social,Faith Community,Place of Worship,,41.5600552,-79.9331125,168,85,247,357315410,node,,place_of_worship,,,,,openstreetmap
Summit United Methodist Church,"1510, West Townhall Road, Erie, PA, 16509",Civic & Social,Faith Community,Place of Worship,,42.0312228,-80.049309,168,85,247,8174481803,node,,place_of_worship,,,,,openstreetmap
Sunnyside Church,,Civic & Social,Faith Community,Place of Worship,,41.6222766,-80.2720069,168,85,247,357315620,node,,place_of_worship,,,,,openstreetmap
Superior Emmanuel Church,"735, Brown Avenue, Erie, PA, 16502",Civic & Social,Faith Community,Place of Worship,,42.1101715,-80.09326,168,85,247,7896912762,node,,place_of_worship,,,,,openstreetmap
Tamang Buddhist Cultural Center,"861, Silliman Avenue, Erie, PA, 16511",Civic & Social,Faith Community,Place of Worship,,42.1517797,-80.0141697,168,85,247,7727550036,node,,place_of_worship,,,,,openstreetmap
Temple Anshe Hesed,"5401, Old Zuck Road, Erie, PA, 16506",Civic & Social,Faith Community,Place of Worship,,42.0647443,-80.1186563,168,85,247,816342941,way,,place_of_worship,,,https://www.taherie.org/,,openstreetmap
The Church of Jesus Christ,"3126, State Street, Erie, PA, 16508",Civic & Social,Faith Community,Place of Worship,,42.1069873,-80.0707143,168,85,247,8497339264,node,,place_of_worship,,,,,openstreetmap
The Church of Jesus Christ of Latter-day Saints,"1101, South Hill Road, Erie, PA, 16509",Civic & Social,Faith Community,Place of Worship,,42.0671514,-80.0694633,168,85,247,894972058,way,,place_of_worship,,,https://local.churchofjesuschrist.org/en/us/pa/erie/1101-south-hill-road,+18144069422,openstreetmap
The Church of Saint Mark the Evangelist,"695, Smithson Avenue, Erie, PA, 16511",Civic & Social,Faith Community,Place of Worship,,42.1539833,-80.0142114,168,85,247,7727514004,node,,place_of_worship,,,,,openstreetmap
The Light of the World Church,"2424, Peach Street, Erie, PA, 16502",Civic & Social,Faith Community,Place of Worship,,42.1124119,-80.0758718,168,85,247,8349841359,node,,place_of_worship,,,,,openstreetmap
The Smith Chapel,"4701, College Drive, Erie, PA, 16563",Civic & Social,Faith Community,Place of Worship,,42.119838,-79.979776,168,85,247,8085765844,node,,place_of_worship,,,,,openstreetmap
The Valley Church,"1118, Main Street, Conneautville, PA, 16406",Civic & Social,Faith Community,Place of Worship,,41.7568174,-80.3677432,168,85,247,506117695,way,,place_of_worship,,,,+1 814 587 3000,openstreetmap
Townville Baptist Church,"33274, North Main Street, Townville, PA, 16360",Civic & Social,Faith Community,Place of Worship,,41.6810356,-79.8838018,168,85,247,1093688848,way,,place_of_worship,,,,,openstreetmap
Townville Unted Methodist Church,"33279, North Main Street, Townville, PA, 16360",Civic & Social,Faith Community,Place of Worship,,41.6799861,-79.8837,168,85,247,341897706,way,,place_of_worship,,,,,openstreetmap
Trinity Church,,Civic & Social,Faith Community,Place of Worship,,41.5142247,-79.7775549,168,85,247,357317068,node,,place_of_worship,,,,,openstreetmap
Trinity Lutheran Church,"14, East 38th Street, Erie, PA, 16504",Civic & Social,Faith Community,Place of Worship,,42.1025599,-80.0668064,168,85,247,7593209714,node,,place_of_worship,,,,,openstreetmap
Trinity Lutheran Church,"4950, North Main Street, McKean, PA, 16426",Civic & Social,Faith Community,Place of Worship,,42.0005299,-80.1415715,168,85,247,8174742091,node,,place_of_worship,,,,,openstreetmap
Triumphant Life Church,"5651, Perry Highway, Erie, PA, 16509",Civic & Social,Faith Community,Place of Worship,,42.0828084,-80.056312,168,85,247,8321960586,node,,place_of_worship,,,,,openstreetmap
True Holiness Church,"133, East 23rd Street, Erie, PA, 16503",Civic & Social,Faith Community,Place of Worship,,42.1152282,-80.0725517,168,85,247,11716671238,node,,place_of_worship,,,,,openstreetmap
Tryonville United Methodist Church,,Civic & Social,Faith Community,Place of Worship,,41.7015008,-79.7903174,168,85,247,1121042399,way,,place_of_worship,,,,,openstreetmap
Union City Church of the Nazarene,,Civic & Social,Faith Community,Place of Worship,,41.8923239,-79.8483716,168,85,247,1151952504,way,,place_of_worship,,,,,openstreetmap
Union City Full Gospel Church,,Civic & Social,Faith Community,Place of Worship,,41.9046489,-79.8854998,168,85,247,1172045270,way,,place_of_worship,,,,,openstreetmap
Union-Amity Church,,Civic & Social,Faith Community,Place of Worship,,41.9375551,-79.8436628,168,85,247,357318233,node,,place_of_worship,,,,,openstreetmap
Unitarian Universalist Congregation of Erie,"7180, Perry Highway, Erie, PA, 16509",Civic & Social,Faith Community,Place of Worship,,42.0762573,-80.0476817,168,85,247,817676680,way,,place_of_worship,,,https://uuerie.org/,+1 814 864 9300,openstreetmap
United Faith Fellowship,,Civic & Social,Faith Community,Place of Worship,,41.6404192,-80.1437366,168,85,247,1117673432,way,,place_of_worship,,,,,openstreetmap
United Pentecostal Church of West County,"1896, Holliday Road, East Springfield, PA, 16411",Civic & Social,Faith Community,Place of Worship,,41.9930017,-80.4248636,168,85,247,9488313276,node,,place_of_worship,,,,,openstreetmap
Unity in Edinboro,,Civic & Social,Faith Community,Place of Worship,,41.8725306,-80.1314074,168,85,247,1368031260,way,,place_of_worship,,,,,openstreetmap
Urban Ministries,"926, Parade Street, Erie, PA, 16503",Civic & Social,Faith Community,Place of Worship,,42.1288826,-80.0744872,168,85,247,8171473483,node,,place_of_worship,,,,,openstreetmap
Valley View Mennonite Church,,Civic & Social,Faith Community,Place of Worship,,41.8206841,-79.6993508,168,85,247,777870307,way,,place_of_worship,,,,,openstreetmap
Wallaceville Church,,Civic & Social,Faith Community,Place of Worship,,41.5540251,-79.8026852,168,85,247,357318996,node,,place_of_worship,,,,,openstreetmap
Walnut Creek Baptist Church,"6015, West Ridge Road, Erie, PA, 16506",Civic & Social,Faith Community,Place of Worship,,42.060408,-80.2055431,168,85,247,8321569625,node,,place_of_worship,,,,,openstreetmap
Washington Valley Church,,Civic & Social,Faith Community,Place of Worship,,41.879778,-80.050888,168,85,247,357319245,node,,place_of_worship,,,,,openstreetmap
Watson Run Church,,Civic & Social,Faith Community,Place of Worship,,41.6022765,-80.2261726,168,85,247,357319284,node,,place_of_worship,,,,,openstreetmap
Watson Run Church,,Civic & Social,Faith Community,Place of Worship,,41.6126715,-80.269683,168,85,247,1121118376,way,,place_of_worship,,,,,openstreetmap
Wayne Park Baptist Temple Church,"923, East 6th Street, Erie, PA, 16503",Civic & Social,Faith Community,Place of Worship,,42.1368846,-80.0641735,168,85,247,8040399100,node,,place_of_worship,,,,,openstreetmap
Wayne Valley Church,,Civic & Social,Faith Community,Place of Worship,,41.9403328,-79.7508845,168,85,247,357319328,node,,place_of_worship,,,,,openstreetmap
Wayside Presbyterian Church,"1208, Asbury Road, Erie, PA, 16505",Civic & Social,Faith Community,Place of Worship,,42.0830059,-80.1900629,168,85,247,864203178,way,,place_of_worship,,,https://www.wayside-erie.org/,+18148337653,openstreetmap
Weis Library United Methodist Church,"6020, Heidler Road, Fairview, PA, 16415",Civic & Social,Faith Community,Place of Worship,,42.0393789,-80.1839456,168,85,247,889023309,way,,place_of_worship,,,https://weischurch.org/,+18148333225,openstreetmap
Wesley United Methodist Church,"3308, South Street, Erie, PA, 16510",Civic & Social,Faith Community,Place of Worship,,42.1399056,-80.0138763,168,85,247,3382415076,node,,place_of_worship,,,,,openstreetmap
Wesleyan Church,"2148, Reash Church Road, Cochranton, PA, 16314",Civic & Social,Faith Community,Place of Worship,,41.4901357,-80.1497433,168,85,247,1196823596,way,,place_of_worship,,,,,openstreetmap
Wesleyville Baptist Church,"3509, Buffalo Road, Erie, PA, 16510",Civic & Social,Faith Community,Place of Worship,,42.1412811,-80.0120317,168,85,247,13645668059,node,,place_of_worship,,,,,openstreetmap
West Erie Presbyterian Church,"621, West 2nd Street, Erie, PA, 16507",Civic & Social,Faith Community,Place of Worship,,42.1279755,-80.1016949,168,85,247,8510442174,node,,place_of_worship,,,,,openstreetmap
West Greene Community Church,"11081, West Greene Road, Waterford, PA, 16441",Civic & Social,Faith Community,Place of Worship,,42.0185266,-79.9381081,168,85,247,8533089779,node,,place_of_worship,,,,,openstreetmap
West Springfield Baptist Church,"13695, West Ridge Road, West Springfield, PA, 16443",Civic & Social,Faith Community,Place of Worship,,41.9474904,-80.4709683,168,85,247,8672120361,node,,place_of_worship,,,,,openstreetmap
West Springfield United Methodist Church,"13790, Chestnut Street, West Springfield, PA, 16443",Civic & Social,Faith Community,Place of Worship,,41.9448498,-80.4739877,168,85,247,8149590495,node,,place_of_worship,,,,,openstreetmap
Westminster Presbyterian Church,"3642, West 26th Street, Erie, PA, 16506",Civic & Social,Faith Community,Place of Worship,,42.0814613,-80.156794,168,85,247,7616950969,node,,place_of_worship,,,,,openstreetmap
Wilkins Church,,Civic & Social,Faith Community,Place of Worship,,41.82839,-79.8864418,168,85,247,357320446,node,,place_of_worship,,,,,openstreetmap
Americo Federal Credit Union,"4101, Main Street, Erie, PA, 16511",Civic & Social,Financial,Bank/Credit Union,,42.1507471,-80.0138423,168,85,247,7578624625,node,,bank,,,,,openstreetmap
Americo Federal Credit Union,"2545, West 23rd Street, Erie, PA, 16506",Civic & Social,Financial,Bank/Credit Union,,42.0933752,-80.1315399,168,85,247,7626226325,node,,bank,,,,,openstreetmap
Andover Bank,"212, West Plum Street, Edinboro, PA, 16412",Civic & Social,Financial,Bank/Credit Union,,41.8764189,-80.1343389,168,85,247,7618856827,node,,bank,,,,,openstreetmap
Andover Bank,"2420, Zimmerly Road, Erie, PA, 16506",Civic & Social,Financial,Bank/Credit Union,,42.0663866,-80.1129599,168,85,247,809371891,way,,bank,,,https://www.andover.bank/,+18148334550,openstreetmap
Andover Bank,"53, East State Street, Albion, PA, 16401",Civic & Social,Financial,Bank/Credit Union,,41.8906551,-80.3647165,168,85,247,1062485637,way,,bank,,,,,openstreetmap
Citizens Bank,"3835, Peach Street, Erie, PA, 16509",Civic & Social,Financial,Bank/Credit Union,,42.0956934,-80.0821449,168,85,247,7573276733,node,,bank,Citizens Bank,,,,openstreetmap
Citizens Bank,"3471, West 38th Street, Erie, PA, 16506",Civic & Social,Financial,Bank/Credit Union,,42.072899,-80.1447171,168,85,247,7626215290,node,,bank,Citizens Bank,,,,openstreetmap
Citizens Bank,"25, West 12th Street, Erie, PA, 16501",Civic & Social,Financial,Bank/Credit Union,,42.12288,-80.0823495,168,85,247,8764847600,node,,bank,Citizens Bank,,,,openstreetmap
Citizens Bank,"4430, Buffalo Road, Erie, PA, 16510",Civic & Social,Financial,Bank/Credit Union,,42.1470526,-80.002521,168,85,247,808951101,way,,bank,Citizens Bank,,https://locations.citizensbank.com/pa/erie/4430-buffalo-road.html,+18144537470,openstreetmap
Citizens Bank,,Civic & Social,Financial,Bank/Credit Union,,41.6321719,-80.1541531,168,85,247,977616551,way,,bank,Citizens Bank,,,,openstreetmap
Corporate Bank Transit of KY,"4805, Atlantic Avenue, Erie, PA, 16506",Civic & Social,Financial,Bank/Credit Union,,42.0745754,-80.113247,168,85,247,7942723901,node,,bank,,,,,openstreetmap
ERIEBANK,"5723, Buffalo Road, Harborcreek, PA, 16421",Civic & Social,Financial,Bank/Credit Union,,42.1597975,-79.9706017,168,85,247,3380507458,node,,bank,,,,,openstreetmap
ERIEBANK,"101, West 10th Street, Erie, PA, 16501",Civic & Social,Financial,Bank/Credit Union,,42.1247579,-80.0840524,168,85,247,7570546790,node,,bank,,,,,openstreetmap
ERIEBANK,"2302, West 12th Street, Erie, PA, 16505",Civic & Social,Financial,Bank/Credit Union,,42.1048058,-80.133077,168,85,247,7644568469,node,,bank,,,,,openstreetmap
ERIEBANK,"2035, Edinboro Road, Erie, PA, 16509",Civic & Social,Financial,Bank/Credit Union,,42.0634003,-80.0984319,168,85,247,810348402,way,,bank,,,https://www.eriebank.bank/,+18148687523,openstreetmap
ERIEBANK,"2615, Asbury Road, Erie, PA, 16506",Civic & Social,Financial,Bank/Credit Union,,42.0716199,-80.1815093,168,85,247,812937657,way,,bank,,,,+18148351116,openstreetmap
Erie Bank,,Civic & Social,Financial,Bank/Credit Union,,41.6193506,-80.2146131,168,85,247,10243747563,node,,bank,,,,,openstreetmap
Erie Bank,"885, Park Avenue, Meadville, PA, 16335",Civic & Social,Financial,Bank/Credit Union,,41.6390734,-80.1520132,168,85,247,807624749,way,,bank,,,,,openstreetmap
Erie Federal Credit Union,"3503, Peach Street, Erie, PA, 16508",Civic & Social,Financial,Bank/Credit Union,,42.1002743,-80.0794052,168,85,247,7542566736,node,,bank,,,,,openstreetmap
Erie Federal Credit Union,"1109, East 38th Street, Erie, PA, 16504",Civic & Social,Financial,Bank/Credit Union,,42.1110272,-80.0420564,168,85,247,7590353565,node,,bank,,,,,openstreetmap
Erie Federal Credit Union,"518, State Street, Erie, PA, 16501",Civic & Social,Financial,Bank/Credit Union,,42.1298933,-80.0859004,168,85,247,7707717230,node,,bank,,,,,openstreetmap
Erie Federal Credit Union,"1005, Greengarden Boulevard, Erie, PA, 16501",Civic & Social,Financial,Bank/Credit Union,,42.1126203,-80.1169313,168,85,247,7721807673,node,,bank,,,,,openstreetmap
Erie Federal Credit Union,"1220, West 32nd Street, Erie, PA, 16508",Civic & Social,Financial,Bank/Credit Union,,42.0975943,-80.0966833,168,85,247,8112367754,node,,bank,,,,,openstreetmap
Erie Federal Credit Union,"7141, West Ridge Road, Fairview, PA, 16415",Civic & Social,Financial,Bank/Credit Union,,42.0380268,-80.2453614,168,85,247,13138509103,node,,bank,,,,,openstreetmap
Erie Federal Credit Union,"2436, Buffalo Road, Erie, PA, 16510",Civic & Social,Financial,Bank/Credit Union,,42.1366767,-80.023711,168,85,247,808510146,way,,bank,,,,+18148252436,openstreetmap
Erie Federal Credit Union,"5500, Zuck Road, Erie, PA, 16506",Civic & Social,Financial,Bank/Credit Union,,42.0663119,-80.115887,168,85,247,809370484,way,,bank,,,https://www.eriefcu.org/,+18148252436,openstreetmap
Erie Federal Credit Union,"101, Washington Towne Boulevard, Edinboro, PA, 16412",Civic & Social,Financial,Bank/Credit Union,,41.8788665,-80.1722624,168,85,247,824942798,way,,bank,,,,,openstreetmap
Erie Firefighters Federal Credit Union,"3204, Maple Street, Erie, PA, 16508",Civic & Social,Financial,Bank/Credit Union,,42.1017162,-80.0844175,168,85,247,8112389003,node,,bank,,,,,openstreetmap
Erie Management Group,"1540, East Lake Road, Erie, PA, 16511",Civic & Social,Financial,Bank/Credit Union,,42.1430615,-80.0527492,168,85,247,7685101094,node,,bank,,,,,openstreetmap
Erie Times Federal Credit Union,"335, Metz Street, Erie, PA, 16508",Civic & Social,Financial,Bank/Credit Union,,42.1034981,-80.0772879,168,85,247,8228385245,node,,bank,,,,,openstreetmap
First National Bank,"1424, East Grandview Boulevard, Erie, PA, 16504",Civic & Social,Financial,Bank/Credit Union,,42.1081074,-80.0302985,168,85,247,3374410612,node,,bank,First National Bank,,,,openstreetmap
First National Bank,"7012, Buffalo Road, Harborcreek, PA, 16421",Civic & Social,Financial,Bank/Credit Union,,42.1718258,-79.9477069,168,85,247,7566356944,node,,bank,First National Bank,,,,openstreetmap
First National Bank,"711, State Street, Erie, PA, 16501",Civic & Social,Financial,Bank/Credit Union,,42.1281987,-80.083934,168,85,247,7570177859,node,,bank,First National Bank,,,,openstreetmap
